03/17/2021 03:50:30 - INFO     - Training on cuda
03/17/2021 03:50:30 - INFO     - Train/Test Split: 94.6% / 5.4%
03/17/2021 03:50:38 - INFO     - Starting new training for /home/ubuntu/EVGen/Results/AWS_test_v10
03/17/2021 05:29:20 - INFO     - Completed: Epoch 808/5000 	 Batch 10/70.0 	 Total Batches 56500/350000.0 	 Time left 8:32:46.613168
03/17/2021 05:30:13 - INFO     - Completed: Epoch 815/5000 	 Batch 20/70.0 	 Total Batches 57000/350000.0 	 Time left 8:31:54.575547
03/17/2021 05:31:05 - INFO     - Completed: Epoch 822/5000 	 Batch 30/70.0 	 Total Batches 57500/350000.0 	 Time left 8:31:03.320117
03/17/2021 05:31:57 - INFO     - Completed: Epoch 829/5000 	 Batch 40/70.0 	 Total Batches 58000/350000.0 	 Time left 8:30:11.134094
03/17/2021 05:32:50 - INFO     - Completed: Epoch 836/5000 	 Batch 50/70.0 	 Total Batches 58500/350000.0 	 Time left 8:29:20.119106
03/17/2021 05:33:42 - INFO     - Completed: Epoch 843/5000 	 Batch 60/70.0 	 Total Batches 59000/350000.0 	 Time left 8:28:28.161216
03/17/2021 05:34:34 - INFO     - Completed: Epoch 850/5000 	 Batch 70/70.0 	 Total Batches 59500/350000.0 	 Time left 8:27:36.688465
03/17/2021 05:35:27 - INFO     - Completed: Epoch 858/5000 	 Batch 10/70.0 	 Total Batches 60000/350000.0 	 Time left 8:26:37.273505
03/17/2021 05:36:19 - INFO     - Completed: Epoch 865/5000 	 Batch 20/70.0 	 Total Batches 60500/350000.0 	 Time left 8:25:43.890827
03/17/2021 05:37:11 - INFO     - Completed: Epoch 872/5000 	 Batch 30/70.0 	 Total Batches 61000/350000.0 	 Time left 8:24:51.003261
03/17/2021 05:38:03 - INFO     - Completed: Epoch 879/5000 	 Batch 40/70.0 	 Total Batches 61500/350000.0 	 Time left 8:23:57.827751
03/17/2021 05:38:55 - INFO     - Completed: Epoch 886/5000 	 Batch 50/70.0 	 Total Batches 62000/350000.0 	 Time left 8:23:04.688855
03/17/2021 05:39:47 - INFO     - Completed: Epoch 893/5000 	 Batch 60/70.0 	 Total Batches 62500/350000.0 	 Time left 8:22:12.308493
03/17/2021 05:40:39 - INFO     - Completed: Epoch 900/5000 	 Batch 70/70.0 	 Total Batches 63000/350000.0 	 Time left 8:21:20.245794
03/17/2021 05:41:31 - INFO     - Completed: Epoch 908/5000 	 Batch 10/70.0 	 Total Batches 63500/350000.0 	 Time left 8:20:21.136478
03/17/2021 05:42:24 - INFO     - Completed: Epoch 915/5000 	 Batch 20/70.0 	 Total Batches 64000/350000.0 	 Time left 8:19:31.032024
03/17/2021 05:43:17 - INFO     - Completed: Epoch 922/5000 	 Batch 30/70.0 	 Total Batches 64500/350000.0 	 Time left 8:18:40.282245
03/17/2021 05:44:09 - INFO     - Completed: Epoch 929/5000 	 Batch 40/70.0 	 Total Batches 65000/350000.0 	 Time left 8:17:49.378426
03/17/2021 05:45:01 - INFO     - Completed: Epoch 936/5000 	 Batch 50/70.0 	 Total Batches 65500/350000.0 	 Time left 8:16:57.224896
03/17/2021 05:45:54 - INFO     - Completed: Epoch 943/5000 	 Batch 60/70.0 	 Total Batches 66000/350000.0 	 Time left 8:16:05.290142
